,cik,algo_ct,noalgo_ct,date
151,1341439,1330,103,6/1/2015
152,1341439,12583,117,6/2/2015
153,1341439,2715,107,6/3/2015
154,1341439,2476,108,6/4/2015
155,1341439,2071,154,6/5/2015
156,1341439,1499,98,6/6/2015
157,1341439,711,104,6/7/2015
158,1341439,1112,198,6/8/2015
159,1341439,1134,161,6/9/2015
160,1341439,1364,185,6/10/2015
161,1341439,1375,114,6/11/2015
162,1341439,1454,140,6/12/2015
163,1341439,726,122,6/13/2015
164,1341439,902,126,6/14/2015
165,1341439,1068,147,6/15/2015
166,1341439,1986,201,6/16/2015
167,1341439,5251,278,6/17/2015
168,1341439,3192,478,6/18/2015
169,1341439,1746,278,6/19/2015
170,1341439,1198,187,6/20/2015
171,1341439,711,184,6/21/2015
172,1341439,1328,276,6/22/2015
173,1341439,1402,282,6/23/2015
174,1341439,2192,205,6/24/2015
175,1341439,13011,256,6/25/2015
176,1341439,4790,349,6/26/2015
177,1341439,2620,272,6/27/2015
178,1341439,2222,242,6/28/2015
179,1341439,3564,325,6/29/2015
180,1341439,2724,253,6/30/2015
181,1341439,2465,255,7/1/2015
182,1341439,2532,261,7/2/2015
183,1341439,1945,175,7/3/2015
184,1341439,1230,160,7/4/2015
185,1341439,1313,192,7/5/2015
186,1341439,1467,233,7/6/2015
187,1341439,12126,226,7/7/2015
188,1341439,12939,103,7/8/2015
189,1341439,4386,106,7/9/2015
190,1341439,3648,88,7/10/2015
191,1341439,2347,30,7/11/2015
192,1341439,837,42,7/12/2015
193,1341439,1018,56,7/13/2015
194,1341439,1271,77,7/14/2015
195,1341439,1541,79,7/15/2015
196,1341439,9491,130,7/16/2015
197,1341439,7355,101,7/17/2015
198,1341439,5396,34,7/18/2015
199,1341439,3425,46,7/19/2015
200,1341439,4076,90,7/20/2015
201,1341439,2394,109,7/21/2015
202,1341439,1394,72,7/22/2015
203,1341439,1252,61,7/23/2015
204,1341439,1276,90,7/24/2015
205,1341439,693,38,7/25/2015
206,1341439,681,25,7/26/2015
207,1341439,1257,68,7/27/2015
208,1341439,2895,84,7/28/2015
209,1341439,4057,85,7/29/2015
210,1341439,2036,114,7/30/2015
211,1341439,1318,70,7/31/2015
212,1341439,1092,34,8/1/2015
