label	texts
0	$BIDU China market really a factor? Where are all these different % coming from!?! Hope BIDU crashes!
0	$TSLA IV will kill options tomorrow :( my puts will be red unless we can see some downward movement
0	$NFLX $TSLA $AMZN Back to $385-390... Futures are pointing that blood bath is coming... Only down percent today... Cash in when you can...
0	$IBM Looks like a pullback is in the cards......report was not well received....
0	"$TWTR Any move up, SELL while you can. Again, I implore you"
0	"$SJM simply put awful quarter, should break 100................."
0	$ZNGA I said this stock was coming back to $2.70 the day they hired the new CEO. It was just up because of him never believe in this rally
0	$LNKD is there some way to short San Francisco real estate? $TWTR $AAPL $YELP $GRUB
0	$PNRA http://stks.co/j2Gl To sum up: Anyone long Panera into earnings is smoking banana peels $CMG $QQQ
0	&quot;@alexcampbello @baydeal &lt;&lt;&lt;We will see 60 soon Bearish&gt;&gt;&gt;&gt;  how soon? next decade? $CRM&quot; tomorrow
0	...And down she goes $PAY Lets just hope it stays there till tomorrow
0	$CUDA on a stand still only because if the rally wait till next week on a red day this goes down below 30..
0	$FEYE not sure when it became acceptable to lose money every quarter...bizzare phenomonon...shouldn&#39;t last
0	$ORCL institutional selling hasn&#39;t even started yet
0	$NFLX and lillyhammer season 3 coming out? been waiting two years...o wait they don&#39;t have money to make another one....
0	"$TWTR just like MySpace -- if you can&#39;t fix your core problems, you will lose users. Will be sold for its IP, kinda like Kodak &amp; Polaroid."
0	"$RAX They missed EPS by 0.04, barely met Rev expectation, and the P/E is 65, only 15% Growth. Why is this not tanking? What am I missing?"
0	"$RGSE -/- 15,77% Love hurts"
0	$YUM Real story is *Yum Q3 Sales $3.427B vs $3.68B Est. Yum Yum
0	$AAPL more selling before da close...
0	"&quot;@mas1fxb: $EA Why is the volume so incredibly low in AH?&quot; No one buying man, thus it went down. Market needs to drop for participation"
0	$NFLX its like blood river as niagara falls
0	$NFLX goldman sachs got everybody.where&#39;s the 600 they spoke Of?
0	$MSI Sell on rise @ or above 64.25 avg if g8 65.50 positional target 61.75 - 60.72 #Nyse
0	$AAPL SHORT!!!!
0	$GMCR hope this down trend this time is sustainable..please go below $69
0	$AAPL $FB $TWTR Tomorrow Nasdaq will be a blood bath.  Add December rate hike... #bloodeverywhere
0	$MNKD huge reduction in expenses is only reason this &#39;beat&#39;
0	$JCP Short
0	Goldman Dumped $KSS Kohls. That means that this will just fall further if it breaks $55 it will fall to $40 again. Debating to sell mine too
